"GEO_ID","NAME","P012001","P012002","P012003","P012004","P012005","P012006","P012007","P012008","P012009","P012010","P012011","P012012","P012013","P012014","P012015","P012016","P012017","P012018","P012019","P012020","P012021","P012022","P012023","P012024","P012025","P012026","P012027","P012028","P012029","P012030","P012031","P012032","P012033","P012034","P012035","P012036","P012037","P012038","P012039","P012040","P012041","P012042","P012043","P012044","P012045","P012046","P012047","P012048","P012049",
"Geography","Label for GEO_ID","Total","Total!!Male","Total!!Male!!Under 5 years","Total!!Male!!5 to 9 years","Total!!Male!!10 to 14 years","Total!!Male!!15 to 17 years","Total!!Male!!18 and 19 years","Total!!Male!!20 years","Total!!Male!!21 years","Total!!Male!!22 to 24 years","Total!!Male!!25 to 29 years","Total!!Male!!30 to 34 years","Total!!Male!!35 to 39 years","Total!!Male!!40 to 44 years","Total!!Male!!45 to 49 years","Total!!Male!!50 to 54 years","Total!!Male!!55 to 59 years","Total!!Male!!60 and 61 years","Total!!Male!!62 to 64 years","Total!!Male!!65 and 66 years","Total!!Male!!67 to 69 years","Total!!Male!!70 to 74 years","Total!!Male!!75 to 79 years","Total!!Male!!80 to 84 years","Total!!Male!!85 years and over","Total!!Female","Total!!Female!!Under 5 years","Total!!Female!!5 to 9 years","Total!!Female!!10 to 14 years","Total!!Female!!15 to 17 years","Total!!Female!!18 and 19 years","Total!!Female!!20 years","Total!!Female!!21 years","Total!!Female!!22 to 24 years","Total!!Female!!25 to 29 years","Total!!Female!!30 to 34 years","Total!!Female!!35 to 39 years","Total!!Female!!40 to 44 years","Total!!Female!!45 to 49 years","Total!!Female!!50 to 54 years","Total!!Female!!55 to 59 years","Total!!Female!!60 and 61 years","Total!!Female!!62 to 64 years","Total!!Female!!65 and 66 years","Total!!Female!!67 to 69 years","Total!!Female!!70 to 74 years","Total!!Female!!75 to 79 years","Total!!Female!!80 to 84 years","Total!!Female!!85 years and over",
"0400000US01","Alabama","4779736(r38235)","2320188","155265","157340","163417","102627","72524","36159","34103","97258","153716","146424","151078","152707","169103","168725","149633","55413","76190","42086","55807","72143","51927","33684","22859","2459548","149692","150889","156238","96991","71329","36159","34370","97273","157318","151464","157352","158364","177266","178760","162273","60731","83793","47320","64424","88721","70909","55087","52825",
"0400000US02","Alaska","710231(r38823)","369628","27896","26038","26147","16325","10854","5828","5824","18054","29307","24861","23731","24646","28398","29288","26394","8884","10347","5367","6347","6662","4150","2620","1660","340603","26100","24849","24669","15354","9608","4800","4753","15160","26112","22845","22102","22495","26328","27012","23577","7587","9120","4736","5752","6486","4742","3365","3051",
"0400000US04","Arizona","6392017","3175823","232562","231246","228995","139101","98179","48719","46398","134445","225608","212223","210224","205899","212499","202411","178665","68397","98557","56200","77399","102628","76221","51509","37738","3216194","223153","222434","219669","131854","92448","45037","42944","125041","214390","204472","205469","200902","214523","213113","196603","75695","108311","62902","86365","112398","86040","66769","65662",
"0400000US05","Arkansas","2915918(r39193)","1431637","100950","100871","100896","61220","42958","21649","20666","58486","96155","92277","91484","91214","101382","99146","88935","33359","46997","26937","35992","47209","33929","22391","16534","1484281","96739","96006","96663","58130","41497","21121","20104","57624","95998","91462","92130","91380","104162","102576","95025","36130","50545","29782","40656","54026","43812","33845","34868",
"0400000US06","California","37253956","18517830","1294056","1279563","1325915","857058","598024","298655","289108","853022","1408698","1304347","1291370","1313323","1341984","1266543","1069976","378044","501127","268273","341951","443402","337174","245402","210815","18736126","1237277","1226276","1265015","809880","558978","274987","266667","783510","1335711","1269121","1282209","1295808","1347835","1296009","1134320","408232","544794","300544","392790","528376","429797","357837","390153",
"0400000US08","Colorado","5029196","2520662","176361","177782","170192","103140","72590","36244","35258","110263","192007","181317","182350","175758","185148","184243","161766","56765","75624","38901","48833","59773","43456","29773","23118","2508534","167599","170821","162462","97252","66493","33193","32127","101530","180452","172502","171255","170281","186487","186820","166598","58889","78002","41252","53506","67695","53452","43371","46495",
"0400000US09","Connecticut","3574097","1739614","103475","113763","122924","78034","50915","24865","23744","68508","107986","102038","108637","127555","141757","138961","116699","40316","56623","30759","39499","47331","37908","30369","26948","1834483","98631","108808","117341","74039","47846","23274","22591","64916","106159","104194","113764","134482","149515","145364","123458","44040","62316","33675","45348","58332","51344","47096","57950",
"0400000US10","Delaware","897934","434939","28415","28777","28953","18690","13962","6972","6559","17962","28719","26409","27059","29390","32764","31713","27147","10215","14701","8232","11214","14139","10656","7177","5114","462995","27471","27709","27895","17855","14076","7069","6813","17492","28884","27405","28270","31368","34792","34285","30669","11473","16724","9339","13024","16505","13229","10018","10630",
"0400000US11","District of Columbia","601723(r39494)","284222","16533","13198","12641","8517","10434","5854","5412","17535","32167","26617","21447","19136","19534","18114","15994","5819","7579","4213","5392","6671","4782","3516","3117","317501","16080","12949","12400","8497","12471","6662","6365","22282","37482","28479","21478","18598","19005","19050","18280","7052","9253","5157","6726","8810","7038","6189","7198",
"0400000US12","Florida","18801310(r40184)","9189355","547985","551053","578689","369264","262023","131467","126865","368731","594897","555239","585141","623330","691335","650033","569009","215283","318585","186654","261539","357908","280087","205925","158313","9611955","525521","529202","552158","348219","248876","126563","121737","353395","584330","555079","593326","629457","709867","690258","633409","243468","357914","211263","299777","410799","335427","276098","275812",
"0400000US13","Georgia","9687653(r41102)","4729171","350673","353909","352577","215202","147732","73069","69430","201978","333831","324379","340454","344098","353137","324343","271779","99268","135282","72588","93762","112713","77156","48500","33311","4958482","336112","341252","337107","204720","142345","70402","67821","197380","340104","337246","357605","355383","369524","344248","301772","110602","150854","82057","107600","137709","105579","80548","80512",
"0400000US15","Hawaii","1360301","681243","45019","42847","41699","26447","18143","9872","10408","31701","50683","44921","43994","45253","48213","48831","46148","17616","23263","13322","15527","19140","14940","11904","11352","679058","42388","40514","39840","25064","16340","8616","8445","26787","46619","43110","42762","44364","47574","49147","47192","17760","23583","13826","16495","22213","19735","17798","18886",
"0400000US16","Idaho","1567582(r41542)","785324","62468","61887","60104","35788","23148","10616","10798","33368","54818","52206","49149","47948","51546","52006","48095","17436","24106","13265","17883","22648","15960","11073","9008","782258","59304","59308","56851","33362","23061","11588","10978","30861","51916","50025","47696","46816","52014","52971","48902","17689","24085","13848","18432","23458","18318","14541","16234",
"0400000US17","Illinois","12830632","6292276","425893","438556","449160","284750","188986","92304","88424","266785","456887","433782","426476","432756","463423","455953","392322","136853","182050","96703","129191","163405","122706","92019","72892","6538356","409684","420849","430288","269999","178357","87309","84371","259771","453386","431902","429314","437344","476671","474832","415456","147327","199199","108567","150599","201070","166679","143362","162020",
"0400000US18","Indiana","6483802","3189737","221819","227736","230960","142591","100899","50209","47542","130517","210811","204713","208907","212134","234880","233891","205257","72705","96274","52173","69917","88090","64775","47290","35647","3294065","212256","217085","221211","134640","97385","48785","46771","128202","208719","203102","208104","211685","239066","238931","213258","77317","104332","57537","79430","105188","87068","74368","79625",
"0400000US19","Iowa","3046355","1508319","103401","102669","103327","63993","47246","24151","22805","62511","101509","94027","89574","94810","107876","111584","102309","35985","47265","25235","34407","46140","36112","28032","23351","1538036","98722","97977","97577","60327","45271","23076","21890","58917","96334","90713","87574","92590","108606","111660","102084","36167","48940","27069","37654","54151","47275","42155","51307",
