"GEO_ID","NAME","P12_001N","P12_002N","P12_003N","P12_004N","P12_005N","P12_006N","P12_007N","P12_008N","P12_009N","P12_010N","P12_011N","P12_012N","P12_013N","P12_014N","P12_015N","P12_016N","P12_017N","P12_018N","P12_019N","P12_020N","P12_021N","P12_022N","P12_023N","P12_024N","P12_025N","P12_026N","P12_027N","P12_028N","P12_029N","P12_030N","P12_031N","P12_032N","P12_033N","P12_034N","P12_035N","P12_036N","P12_037N","P12_038N","P12_039N","P12_040N","P12_041N","P12_042N","P12_043N","P12_044N","P12_045N","P12_046N","P12_047N","P12_048N","P12_049N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!Male:"," !!Total:!!Male:!!Under 5 years"," !!Total:!!Male:!!5 to 9 years"," !!Total:!!Male:!!10 to 14 years"," !!Total:!!Male:!!15 to 17 years"," !!Total:!!Male:!!18 and 19 years"," !!Total:!!Male:!!20 years"," !!Total:!!Male:!!21 years"," !!Total:!!Male:!!22 to 24 years"," !!Total:!!Male:!!25 to 29 years"," !!Total:!!Male:!!30 to 34 years"," !!Total:!!Male:!!35 to 39 years"," !!Total:!!Male:!!40 to 44 years"," !!Total:!!Male:!!45 to 49 years"," !!Total:!!Male:!!50 to 54 years"," !!Total:!!Male:!!55 to 59 years"," !!Total:!!Male:!!60 and 61 years"," !!Total:!!Male:!!62 to 64 years"," !!Total:!!Male:!!65 and 66 years"," !!Total:!!Male:!!67 to 69 years"," !!Total:!!Male:!!70 to 74 years"," !!Total:!!Male:!!75 to 79 years"," !!Total:!!Male:!!80 to 84 years"," !!Total:!!Male:!!85 years and over"," !!Total:!!Female:"," !!Total:!!Female:!!Under 5 years"," !!Total:!!Female:!!5 to 9 years"," !!Total:!!Female:!!10 to 14 years"," !!Total:!!Female:!!15 to 17 years"," !!Total:!!Female:!!18 and 19 years"," !!Total:!!Female:!!20 years"," !!Total:!!Female:!!21 years"," !!Total:!!Female:!!22 to 24 years"," !!Total:!!Female:!!25 to 29 years"," !!Total:!!Female:!!30 to 34 years"," !!Total:!!Female:!!35 to 39 years"," !!Total:!!Female:!!40 to 44 years"," !!Total:!!Female:!!45 to 49 years"," !!Total:!!Female:!!50 to 54 years"," !!Total:!!Female:!!55 to 59 years"," !!Total:!!Female:!!60 and 61 years"," !!Total:!!Female:!!62 to 64 years"," !!Total:!!Female:!!65 and 66 years"," !!Total:!!Female:!!67 to 69 years"," !!Total:!!Female:!!70 to 74 years"," !!Total:!!Female:!!75 to 79 years"," !!Total:!!Female:!!80 to 84 years"," !!Total:!!Female:!!85 years and over",
"0400000US01","Alabama","5024279","2426844","146518","154192","165911","98883","71236","37892","36272","95966","153924","150743","149359","145334","151946","153401","165902","65651","94232","58399","77522","110101","70663","41956","30841","2597435","140011","148445","159120","94033","74323","39476","37851","98474","160320","160373","159664","154608","159755","161503","178020","71892","104326","66018","89134","130004","89480","60701","59904",
"0400000US02","Alaska","733391","381417","24861","26134","26665","14934","10038","5695","5667","16286","28971","29668","28305","23252","21673","22368","25150","10177","13993","8892","11058","13629","7601","3823","2577","351974","23243","24920","24679","13952","8509","4358","4267","13183","26087","27313","25629","21200","20127","20666","23181","9537","13518","8460","10400","12758","7748","4297","3942",
"0400000US04","Arizona","7151502","3537343","199552","226353","247901","147704","99944","52503","49817","142959","242748","236010","225588","208837","206512","205380","215595","87236","124801","81562","113513","176195","120456","71851","54326","3614159","192818","217525","237396","140277","97966","50760","47605","134069","230830","226899","220963","209213","210051","210832","230438","95656","139592","92958","129491","197017","136921","84584","80298",
"0400000US05","Arkansas","3011524","1476498","91817","98771","105410","62273","41898","21485","20825","57113","94401","94367","94212","89728","88851","88826","97088","38217","54033","34139","46196","66374","44166","26727","19581","1535026","87758","94023","100427","58772","41972","21174","20614","56898","94435","95999","96151","91153","90740","90721","102441","40749","59315","38219","51483","76309","54529","35791","35353",
"0400000US06","California","39538223","19549003","1090803","1222793","1339118","802765","550481","288240","279278","836937","1489276","1475900","1397773","1258177","1217684","1233002","1234728","478040","656912","406633","523093","727873","469870","297328","272299","19989220","1046636","1170426","1274773","763804","527021","272599","264239","790260","1425982","1435674","1386356","1283703","1260434","1266135","1286009","504162","710939","448262","593087","848350","580860","397230","452279",
"0400000US08","Colorado","5773714","2899751","160331","178024","194051","115315","77558","40645","39796","118375","230827","233250","217892","191092","182034","172476","176499","70816","100176","62498","84109","113476","68273","39830","32408","2873963","154249","169501","183459","109208","73283","37291","36385","110428","213841","217914","205551","184487","175088","170389","183386","74647","106755","67317","91292","124410","79784","50936","54362",
"0400000US09","Connecticut","3605944","1749853","89943","101027","112896","72413","49943","26218","25443","67857","112227","114291","109701","102841","106082","121121","130651","51164","70936","42779","54445","75237","51177","31088","30373","1856091","86888","96609","108303","68638","49939","26484","24516","64529","109980","117817","114972","109298","113811","130189","139939","55307","76906","46575","60969","89121","64165","43782","57354",
"0400000US10","Delaware","989948","476719","26159","28828","31116","18794","12907","7553","7110","18225","29902","30264","29591","26559","26861","29650","33389","13233","19469","12354","16965","24840","16437","9292","7221","513229","25071","28092","30208","18137","12821","7658","6850","18079","30529","31970","31092","28828","28848","32548","37144","15212","22674","14401","20156","29094","19535","12071","12211",
"0400000US11","District of Columbia","689545","322777","18908","17025","14619","7598","8269","5247","4584","17069","37487","37510","29749","21272","17434","16736","17336","6613","8971","5606","7185","9676","6452","3820","3611","366768","18160","16283","14309","7482","10398","7531","6599","23409","45790","41790","31744","22250","18061","17276","17939","7114","10207","6623","9001","13115","8932","5881","6874",
